2026-06-29 11:06:26,659 | INFO    | LoginPage | navigate -> https://www.ebay.com
2026-06-29 11:06:28,979 | INFO    | LoginPage | confirmed guest session (no sign-in detected)
2026-06-29 11:06:28,979 | INFO    | SearchPage | navigate -> https://www.ebay.com
2026-06-29 11:06:32,492 | INFO    | SearchPage | search opened for query='headphones'
2026-06-29 11:06:35,075 | INFO    | SearchPage | applied max price filter: 50
2026-06-29 11:06:42,287 | INFO    | ItemPage | navigate -> https://www.ebay.com/itm/235619322113
2026-06-29 11:06:45,441 | INFO    | ItemPage | selected variant 1/1: 'Blue' in listbox nid-ogu-20
2026-06-29 11:06:48,319 | INFO    | ItemPage | added item 235619322113 to cart
2026-06-29 11:06:49,858 | INFO    | ItemPage | navigate -> https://www.ebay.com/itm/187522271023
2026-06-29 11:06:53,607 | INFO    | ItemPage | selected variant 1/1: 'Cyan MIC' in listbox nid-lwj-20
2026-06-29 11:06:56,375 | INFO    | ItemPage | added item 187522271023 to cart
2026-06-29 11:06:57,920 | INFO    | ItemPage | navigate -> https://www.ebay.com/itm/297619411291
2026-06-29 11:06:59,365 | INFO    | ItemPage | no variant selectors found, skipping
2026-06-29 11:07:02,295 | INFO    | ItemPage | added item 297619411291 to cart
2026-06-29 11:07:03,859 | INFO    | CartPage | navigate -> https://cart.ebay.com
