2026-06-29 11:05:25,806 | INFO    | LoginPage | navigate -> https://www.ebay.com
2026-06-29 11:05:27,777 | INFO    | LoginPage | confirmed guest session (no sign-in detected)
2026-06-29 11:05:27,777 | INFO    | SearchPage | navigate -> https://www.ebay.com
2026-06-29 11:05:32,774 | INFO    | SearchPage | search opened for query='shoes'
2026-06-29 11:05:37,127 | INFO    | SearchPage | applied max price filter: 220
2026-06-29 11:05:40,672 | INFO    | ItemPage | navigate -> https://www.ebay.com/itm/178064614857
2026-06-29 11:05:42,684 | INFO    | ItemPage | no variant selectors found, skipping
2026-06-29 11:05:47,184 | INFO    | ItemPage | added item 178064614857 to cart
2026-06-29 11:05:48,470 | INFO    | ItemPage | navigate -> https://www.ebay.com/itm/137456563088
2026-06-29 11:05:54,502 | INFO    | ItemPage | selected variant 1/1: '8' in listbox nid-k5a-10
2026-06-29 11:05:57,520 | INFO    | ItemPage | added item 137456563088 to cart
2026-06-29 11:05:58,630 | INFO    | ItemPage | navigate -> https://www.ebay.com/itm/206353309769
2026-06-29 11:06:01,990 | INFO    | ItemPage | selected variant 1/1: '5' in listbox nid-ur7-10
2026-06-29 11:06:04,839 | INFO    | ItemPage | added item 206353309769 to cart
2026-06-29 11:06:06,659 | INFO    | ItemPage | navigate -> https://www.ebay.com/itm/206353278946
2026-06-29 11:06:09,200 | INFO    | ItemPage | selected variant 1/1: '8' in listbox nid-kno-10
2026-06-29 11:06:11,905 | INFO    | ItemPage | added item 206353278946 to cart
2026-06-29 11:06:13,878 | INFO    | ItemPage | navigate -> https://www.ebay.com/itm/236305831395
2026-06-29 11:06:16,574 | INFO    | ItemPage | selected variant 1/2: 'Camo Red' in listbox nid-net-30
2026-06-29 11:06:17,532 | INFO    | ItemPage | selected variant 2/2: 'UK 9-10（EU 44-45)' in listbox nid-net-20
2026-06-29 11:06:20,389 | INFO    | ItemPage | added item 236305831395 to cart
2026-06-29 11:06:21,565 | INFO    | CartPage | navigate -> https://cart.ebay.com
